has_bytecode,is_verified,has_selfdestruct,has_delegatecall,is_proxy,has_owner,is_pausable,contract_risk_score,top_10_concentration,top_holder_pct,gini_coefficient,unique_holders,holder_risk_score,lp_locked,liquidity_usd,has_pair,liquidity_risk_score,mint_count,burn_count,unique_senders,unique_receivers,avg_transfer_value,anomaly_score,transfer_risk_score,is_known_scam,honeypot_pattern,similarity_score,pattern_risk_score,total_supply,has_tax,buy_tax,sell_tax,total_tax,tokenomics_risk_score,risk_score_variance,high_risk_modules,weighted_risk,confidence_avg,has_critical_flags,liquidity_holder_ratio,is_rugpull
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.28651954892712295,0.5992992870063887,0.5187478471147094,0.4408226626022156,0.5428781323608052,0.42449283267653515,0.0,0.3736408184666985,0.0,0.30835507063231027,0.8067147680447275,0.22598676566149245,0.7485589856706767,0.9606008100125213,0.3020488654893402,0.240548848214587,0.6811770960705276,1.0,1.0,0.43294712119540224,0.31266254334591037,0.42169371371818176,1.0,0.3427640075054182,0.04618541963794831,0.03028504158197226,0.8646363729610499,0.3729397726603941,0.2010319303324214,0.6381445683721739,0.6891279557763248,0.0,0.011962149701723934,1
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8026403123529297,0.5137078552153048,0.051165506445475906,0.3560443817702759,0.8328935948872295,0.30932422435822293,0.0,0.3329120962314033,0.0,0.8844965347938635,0.016539449289876607,0.656413134229673,0.9022202865403741,0.6884093364557076,0.7139554232420516,0.27402469403848584,0.3726760954958379,0.0,1.0,0.48846948224993525,0.13016359387766874,0.10953660497737128,0.0,0.23378548112620873,0.030376864794010028,0.10160379663021557,0.026289848880722944,0.13103546325107412,0.081352372723005,0.4592924535341931,0.5209735365321035,1.0,0.11092403910634707,1
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9972378999036027,0.2881845259595295,0.23285855687609425,0.6321172258911663,0.12508890983640353,0.2806355798765158,1.0,0.17615391250286005,1.0,0.6762337350404775,0.18680789819049848,0.16421695822734594,0.049767196588575535,0.3643682941000802,0.6120470796577556,0.9207379356930562,0.733314661265906,1.0,1.0,0.06451261073803383,0.8266830272711707,0.24754428701804598,0.0,0.027853447846712065,0.302095975371832,0.2456316280406059,0.9109970222440645,0.3270727961206361,0.3395220864738546,0.9644985248639408,0.8813771927373865,0.0,0.6992019292459442,1
0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.030026005329392813,0.006464357789710551,0.49200172943208276,0.3069784643141629,0.12978296572261128,0.9722297092163575,1.0,0.6072666701014879,0.0,0.34091640919209043,0.654905302117831,0.05598028486168638,0.5241115412269551,0.9386003157947275,0.4271811624083718,0.07673951374525623,0.4054714728869787,0.0,0.0,0.4859817845641028,0.002495453600829145,0.8824212084869503,1.0,0.45925507534427495,0.4830581612463774,0.18407511623768757,0.3057451943014007,0.34959945137861653,0.18784128853454496,0.21897845098423818,0.7865787558587591,1.0,0.06367133306578854,0
0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.8973658657909319,0.49623922190081393,0.31023528374470477,0.3593363080984332,0.5568183602783076,0.15336482741574564,1.0,0.4766241605086289,1.0,0.5435343783741237,0.3757593478039629,0.12101571674864886,0.0328354290838776,0.6628030863757358,0.23902563680366917,0.6095608219048099,0.6276067213320636,1.0,0.0,0.42631966680431477,0.8320883176808307,0.36084992627935897,1.0,0.4901645664381905,0.251360654477362,0.20545614656642675,0.5082227016882677,0.17255923221734243,0.5269412250360329,0.5878564159989407,0.9074379811716557,1.0,0.8659630648429902,1
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.622630533598658,0.2856259885622431,0.18176359776119422,0.8653381086940826,0.9463786533583709,0.7333279087168623,1.0,0.8657009923240037,0.0,0.8405358799491938,0.982482651061107,0.9299847831341347,0.4684095450243587,0.8443335491993377,0.36901469934594544,0.6817359520656108,0.7698580056788935,1.0,0.0,0.7125442652865932,0.2623118420459759,0.6205526585948811,1.0,0.2155217076059175,0.025757612969652566,0.3907236893128363,0.13229552475222806,0.23745949360557012,0.6868465373717261,0.7002100149902226,0.5377756333054811,1.0,0.3113262774199327,0
0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9733826191648212,0.7346083007105351,0.5041328419184383,0.8400313414017244,0.41499775837075425,0.00041028943917487126,1.0,0.03210958048205825,0.0,0.8833682980309119,0.665404792638254,0.5517508829395513,0.8852828290969004,0.7658523040370093,0.5921072134710428,0.5055417234297395,0.5482159106549206,0.0,1.0,0.6456659112123446,0.8847212727556213,0.6659656183070333,1.0,0.3068304037046636,0.11060932803872808,0.007339617533867637,0.9022549693766853,0.2018835452279053,0.4909215784782912,0.8255644893453816,0.8106159952378948,1.0,0.08866647043642462,1
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4650095175264276,0.02394626527048349,0.3228097934478503,0.9405971742834272,0.32694210025469495,0.5961826694023769,0.0,0.6438679275551263,0.0,0.16039387500614521,0.9565489087292065,0.796345775479649,0.36159026642030967,0.3791393157725924,0.35075321474935495,0.6942318788231372,0.5395035904500061,1.0,0.0,0.18521571815056104,0.6914791822415791,0.781829275143312,1.0,0.22514931312187336,0.12239645320788534,0.3302459631606194,0.7498362233844047,0.473674498177267,0.6606073318109776,0.4069710304280071,0.623852943995379,1.0,0.7597573781680654,1
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.8473879305713737,0.5848278113057909,0.2581076431734147,0.8981608051375247,0.6066893231978858,0.9159430039540524,0.0,0.7629488785115611,0.0,0.3395731412081696,0.20144648164579382,0.3326545009050512,0.9324504210806432,0.4787022008507855,0.21489643357423183,0.172754646011967,0.08823432528563446,1.0,1.0,0.20613891821039698,0.6661833328505901,0.18280003024563096,1.0,0.1609398254430603,0.168928564568475,5.5115900911228977e-05,0.9241555866080342,0.15997443117579369,0.3649205143999844,0.6869219076574815,0.951634297247242,0.0,0.5244272344530237,1
1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.06239406859827723,0.9414742375060654,0.4639854174403808,0.7782228942678726,0.9304486005450311,0.287934094093219,1.0,0.759486569188307,0.0,0.33522318021357167,0.8639570281150231,0.5926586478854466,0.6306084716506094,0.1861321543680995,0.1164627488916321,0.8526322327715399,0.4107817429094348,1.0,0.0,0.25100617877437326,0.3653195631648434,0.3048131346144355,0.0,0.038659396428903814,0.021801691793106315,0.03152926278812185,0.6832290511181625,0.09166152111248038,0.02792259723863999,0.3032014713842828,0.5549549698708729,1.0,0.3066400323792976,1
